latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
16.08,78.58,2022,10,0.137254902,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,87.0
16.08,78.59,2022,10,0.078431373,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,80.93216658
16.08,78.66,2022,10,0.137254902,0.019607843,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,87.0
16.08,78.68,2022,10,0.156862745,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,88.0
16.08,78.7,2022,10,0.058823529,0.019607843,0.039215686,0.019607843,2,1,Amrabad,Nagarkurnool,60.93216658
16.08,78.73,2022,9,0.058823529,0.019607843,0.078431373,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.08,78.74,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.08,78.75,2022,11,0.117647059,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.08,78.76,2022,11,0.078431373,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,80.93216658
16.08,78.77,2022,11,0.176470588,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,89.0
16.09,78.3,2022,45,0.098039216,0.039215686,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.310118
16.09,78.47,2022,9,0.156862745,0.039215686,0.117647059,0.039215686,0,0,Kollapur,Nagarkurnool,87.0
16.09,78.48,2022,9,0.078431373,0.019607843,0.078431373,0.019607843,0,0,Kollapur,Nagarkurnool,80.93216658
16.09,78.51,2022,9,0.098039216,0.019607843,0.117647059,0.019607843,0,0,Kollapur,Nagarkurnool,85.0
16.09,78.52,2022,9,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.09,78.53,2022,9,0.117647059,0.019607843,0.039215686,0.039215686,1,1,Kollapur,Nagarkurnool,86.0
16.09,78.57,2022,10,0.098039216,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,85.0
16.09,78.58,2022,10,0.058823529,0.019607843,0.098039216,0.039215686,0,0,Kollapur,Nagarkurnool,60.93216658
16.09,78.59,2022,10,0.117647059,0.039215686,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,68.88637261
16.09,78.59,2022,11,0.117647059,0.039215686,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,68.88637261
16.09,78.68,2022,10,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
16.09,78.69,2022,10,0.117647059,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.09,78.72,2022,9,0.078431373,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.09,78.73,2022,9,0.117647059,0.039215686,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.09,78.75,2022,11,0.058823529,0.019607843,0.078431373,0.019607843,4,1,Amrabad,Nagarkurnool,60.93216658
16.09,78.76,2022,11,0.215686275,0.019607843,0.058823529,0.019607843,3,1,Amrabad,Nagarkurnool,91.0
16.09,78.78,2022,11,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
16.09,78.8,2022,14,0.058823529,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.1,78.46,2022,9,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.1,78.48,2022,11,0.078431373,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,80.93216658
16.1,78.51,2022,9,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.1,78.53,2022,9,0.058823529,0.019607843,0.058823529,0.019607843,3,1,Kollapur,Nagarkurnool,60.93216658
16.1,78.54,2022,9,0.058823529,0.019607843,0.039215686,0.019607843,2,1,Kollapur,Nagarkurnool,60.93216658
16.1,78.57,2022,10,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.1,78.59,2022,11,0.098039216,0.019607843,0.137254902,0.039215686,0,0,Kollapur,Nagarkurnool,85.0
16.1,78.6,2022,11,0.196078431,0.039215686,0.039215686,0.019607843,0,0,Kollapur,Nagarkurnool,89.0
16.1,78.62,2022,10,0.058823529,0.019607843,0.078431373,0.039215686,0,0,Kollapur,Nagarkurnool,60.93216658
16.1,78.64,2022,10,0.098039216,0.019607843,0.078431373,0.019607843,0,0,Kollapur,Nagarkurnool,85.0
16.1,78.71,2022,9,0.117647059,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.1,78.72,2022,9,0.196078431,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,90.0
16.1,78.73,2022,9,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
