latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
18.27372,80.67094,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.2754,78.17864,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Lingampet,Kamareddy,50
18.2754,78.17864,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,50
18.2754,78.17864,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,50
18.27868,80.66837,2023-02-20,7:48,A,MODIS,2023,2,8,7d,Venkatapuram,Mulugu,60
18.28078,78.17562,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Lingampet,Kamareddy,100
18.28078,78.17562,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,100
18.28078,78.17562,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,100
18.28515,80.68066,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.28744,80.67216,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.28767,80.68081,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.28879,77.93768,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Nizamsagar,Kamareddy,50
18.28926,80.67907,2023-02-20,7:09,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.2922,77.8597,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Pitlam,Kamareddy,50
18.2922,77.8597,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Pitlam,Kamareddy,50
18.2922,77.8597,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Pitlam,Kamareddy,50
18.29354,80.04784,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Venkatapur,Mulugu,50
18.29354,80.04784,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Venkatapur,Mulugu,50
18.29354,80.04784,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Venkatapur,Mulugu,50
18.29421,80.04622,2023-02-27,7:28,1,VIIRS,2023,2,9,24h,Venkatapur,Mulugu,50
18.29421,80.04622,2023-02-27,7:28,1,VIIRS,2023,2,9,48h,Venkatapur,Mulugu,50
18.29421,80.04622,2023-02-27,7:28,1,VIIRS,2023,2,9,7d,Venkatapur,Mulugu,50
18.29593,77.85915,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Pitlam,Kamareddy,50
18.29593,77.85915,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Pitlam,Kamareddy,50
18.29593,77.85915,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Pitlam,Kamareddy,50
18.29623,78.14656,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Lingampet,Kamareddy,50
18.29623,78.14656,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,50
18.29623,78.14656,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,50
18.29768,78.16822,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Lingampet,Kamareddy,50
18.29768,78.16822,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Lingampet,Kamareddy,50
18.29768,78.16822,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Lingampet,Kamareddy,50
18.29839,78.14441,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Lingampet,Kamareddy,100
18.29839,78.14441,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,100
18.29839,78.14441,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,100
18.29898,78.17121,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Lingampet,Kamareddy,50
18.29898,78.17121,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Lingampet,Kamareddy,50
18.29898,78.17121,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Lingampet,Kamareddy,50
18.29963,78.14828,2023-02-25,20:36,1,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,50
18.29963,78.14828,2023-02-25,20:36,1,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,50
18.29988,78.14588,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Lingampet,Kamareddy,50
18.29988,78.14588,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Lingampet,Kamareddy,50
18.29988,78.14588,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Lingampet,Kamareddy,50
18.30555,77.69169,2023-02-22,7:22,1,VIIRS,2023,2,8,7d,Pedda Kodapgal,Kamareddy,50
18.31711,77.98199,2023-02-26,8:37,N,VIIRS,2023,2,8,24h,Nizamsagar,Kamareddy,50
18.31711,77.98199,2023-02-26,8:37,N,VIIRS,2023,2,8,48h,Nizamsagar,Kamareddy,50
18.31711,77.98199,2023-02-26,8:37,N,VIIRS,2023,2,8,7d,Nizamsagar,Kamareddy,50
18.31734,80.61382,2023-02-26,20:16,1,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,50
18.31734,80.61382,2023-02-26,20:16,1,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.31734,80.61382,2023-02-26,20:16,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.3181,80.61785,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Venkatapuram,Mulugu,50
18.3181,80.61785,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Venkatapuram,Mulugu,50
18.3181,80.61785,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Venkatapuram,Mulugu,50
18.31844,79.00366,2023-02-22,7:20,1,VIIRS,2023,2,8,7d,Illanthakunta,Rajanna Sircilla,50
18.31911,80.60711,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.31993,79.00218,2023-02-22,7:20,1,VIIRS,2023,2,8,7d,Illanthakunta,Rajanna Sircilla,50
18.3206,79.0054,2023-02-22,7:20,1,VIIRS,2023,2,8,7d,Illanthakunta,Rajanna Sircilla,50
18.32094,78.54125,2023-02-20,7:58,1,VIIRS,2023,2,8,7d,Gambhiraopet,Rajanna Sircilla,50
18.32142,78.00102,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.322,80.61271,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Venkatapuram,Mulugu,50
18.322,80.61271,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Venkatapuram,Mulugu,50
18.322,80.61271,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Venkatapuram,Mulugu,50
