latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,Mandal_Nam,Dist_Name,confidence
18.43164,77.94112,2023-02-12,800,N,VIIRS,2023,2,6,Banswada,Kamareddy,50
18.43221,77.94476,2023-02-12,800,N,VIIRS,2023,2,6,Banswada,Kamareddy,50
18.43277,78.2656,2023-02-11,728,1,VIIRS,2023,2,6,Sadashivnagar,Kamareddy,50
18.47103,79.10758,2023-02-12,800,N,VIIRS,2023,2,6,Kothapally,Karimnagar,50
18.47585,80.55917,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.48041,77.94779,2023-02-12,800,N,VIIRS,2023,2,6,Nasurullabad,Kamareddy,50
18.49648,77.97356,2023-02-11,820,N,VIIRS,2023,2,6,Varni,Nizamabad,50
18.49671,77.97185,2023-02-11,820,N,VIIRS,2023,2,6,Varni,Nizamabad,50
18.51044,79.54035,2023-02-11,820,N,VIIRS,2023,2,6,Srirampur,Peddapalli,50
18.51222,78.02099,2023-02-12,800,N,VIIRS,2023,2,6,Chandur,Nizamabad,50
18.52108,80.49718,2023-02-12,839,A,MODIS,2023,2,6,Wazeed,Mulugu,66
18.52619,80.50039,2023-02-12,707,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.52679,80.49966,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.52779,80.49744,2023-02-11,1957,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.5282,78.14058,2023-02-11,2050,N,VIIRS,2023,2,6,Mugpal,Nizamabad,50
18.52975,80.48265,2023-02-11,1957,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.5302,80.49909,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.53072,80.48663,2023-02-11,756,A,MODIS,2023,2,6,Wazeed,Mulugu,71
18.5324,78.14147,2023-02-11,2050,N,VIIRS,2023,2,6,Mugpal,Nizamabad,50
18.53268,80.60596,2023-02-12,455,T,MODIS,2023,2,6,Wazeed,Mulugu,55
18.53529,80.48897,2023-02-11,820,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.53662,80.59304,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.54799,80.59912,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.55209,80.59895,2023-02-12,455,T,MODIS,2023,2,6,Wazeed,Mulugu,57
18.55238,80.5959,2023-02-12,707,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.55387,78.16283,2023-02-12,800,N,VIIRS,2023,2,6,Mugpal,Nizamabad,50
18.55443,80.59382,2023-02-12,707,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.55788,80.58459,2023-02-12,839,A,MODIS,2023,2,6,Wazeed,Mulugu,96
18.57261,78.15215,2023-02-12,800,N,VIIRS,2023,2,6,Mugpal,Nizamabad,50
18.59326,78.87414,2023-02-11,728,1,VIIRS,2023,2,6,Vemulawada Rural,Rajanna Sircilla,50
18.59772,80.40809,2023-02-12,847,1,VIIRS,2023,2,6,Wazeed,Mulugu,100
18.5979,78.87314,2023-02-11,728,1,VIIRS,2023,2,6,Kodimial,Jagtial,50
18.59999,78.7944,2023-02-11,820,N,VIIRS,2023,2,6,Chendurthi,Rajanna Sircilla,50
18.60163,78.79145,2023-02-11,820,N,VIIRS,2023,2,6,Chendurthi,Rajanna Sircilla,50
18.61089,80.47804,2023-02-12,839,A,MODIS,2023,2,6,Wazeed,Mulugu,58
18.61262,78.86097,2023-02-11,1957,1,VIIRS,2023,2,6,Kodimial,Jagtial,50
18.61837,80.48519,2023-02-12,847,1,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.6197,80.46607,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.62079,80.47377,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.62134,80.47762,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.62189,80.48146,2023-02-12,800,N,VIIRS,2023,2,6,Wazeed,Mulugu,50
18.62543,79.44157,2023-02-12,800,N,VIIRS,2023,2,6,Peddapalli,Peddapalli,50
18.64697,78.59402,2023-02-11,820,N,VIIRS,2023,2,6,Rudrangi,Rajanna Sircilla,50
18.65084,78.7493,2023-02-11,820,N,VIIRS,2023,2,6,Kathlapur,Jagtial,50
18.6509,78.5935,2023-02-11,820,N,VIIRS,2023,2,6,Bheemgal,Nizamabad,50
18.65713,78.27109,2023-02-11,728,1,VIIRS,2023,2,6,Jakranpally,Nizamabad,50
18.67375,78.30244,2023-02-12,800,N,VIIRS,2023,2,6,Jakranpally,Nizamabad,50
18.67722,79.87719,2023-02-11,728,1,VIIRS,2023,2,6,Kataram,Jayashankar Bhupalpally,50
18.67848,78.88242,2023-02-11,1957,1,VIIRS,2023,2,6,Kodimial,Jagtial,50
18.6827,78.8829,2023-02-11,1957,1,VIIRS,2023,2,6,Kodimial,Jagtial,50
18.69082,78.65711,2023-02-12,800,N,VIIRS,2023,2,6,Kathlapur,Jagtial,50
18.71845,79.53609,2023-02-11,2050,N,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.71949,79.53451,2023-02-11,2050,N,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.72267,79.53558,2023-02-11,1957,1,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.72284,78.5651,2023-02-11,1957,1,VIIRS,2023,2,6,Kammarpally,Nizamabad,50
18.72303,79.53703,2023-02-11,2050,N,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.72408,79.53545,2023-02-11,2050,N,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.72671,79.53619,2023-02-11,1957,1,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.73331,78.96131,2023-02-11,1957,1,VIIRS,2023,2,6,Mallial,Jagtial,50
18.73394,78.96005,2023-02-11,2050,N,VIIRS,2023,2,6,Mallial,Jagtial,50
18.73612,79.53352,2023-02-11,1957,1,VIIRS,2023,2,6,Ramagiri,Peddapalli,50
18.73659,79.52979,2023-02-11,1957,1,VIIRS,2023,2,6,Ramagundam,Peddapalli,50
18.73874,79.53014,2023-02-11,2050,N,VIIRS,2023,2,6,Ramagundam,Peddapalli,50
18.76053,79.38735,2023-02-11,820,N,VIIRS,2023,2,6,Anthergaon,Peddapalli,50
18.83721,78.57197,2023-02-11,2050,N,VIIRS,2023,2,6,Metpalli,Jagtial,50
18.87903,79.0056,2023-02-12,800,N,VIIRS,2023,2,6,Jagityal_Rural,Jagtial,50
18.88027,79.01766,2023-02-12,707,1,VIIRS,2023,2,6,Buggaram,Jagtial,50
18.88068,79.01653,2023-02-12,800,N,VIIRS,2023,2,6,Buggaram,Jagtial,50
18.88476,79.00504,2023-02-11,2050,N,VIIRS,2023,2,6,Jagityal_Rural,Jagtial,50
18.88519,79.00311,2023-02-11,820,N,VIIRS,2023,2,6,Jagityal_Rural,Jagtial,50
18.88645,79.00645,2023-02-11,1957,1,VIIRS,2023,2,6,Jagityal_Rural,Jagtial,50
18.89715,78.96759,2023-02-11,820,N,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.91731,79.00298,2023-02-11,2050,N,VIIRS,2023,2,6,Dharmapuri,Jagtial,50
18.91785,79.00105,2023-02-11,1957,1,VIIRS,2023,2,6,Dharmapuri,Jagtial,50
18.91992,78.87844,2023-02-11,1957,1,VIIRS,2023,2,6,Raikal,Jagtial,50
18.92009,78.8769,2023-02-11,1957,1,VIIRS,2023,2,6,Raikal,Jagtial,50
18.92299,78.994,2023-02-11,1957,1,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.92359,78.99416,2023-02-11,2050,N,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.92782,78.87727,2023-02-11,2050,N,VIIRS,2023,2,6,Raikal,Jagtial,50
18.92877,78.86681,2023-02-12,800,N,VIIRS,2023,2,6,Raikal,Jagtial,50
18.92912,79.40628,2023-02-12,707,1,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.93084,79.04138,2023-02-12,849,1,VIIRS,2023,2,6,Dharmapuri,Jagtial,50
18.93147,79.40249,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.93171,78.87244,2023-02-11,1643,T,MODIS,2023,2,6,Raikal,Jagtial,72
18.93202,79.40617,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.93208,78.86626,2023-02-12,800,N,VIIRS,2023,2,6,Raikal,Jagtial,50
18.93326,78.87457,2023-02-11,1957,1,VIIRS,2023,2,6,Raikal,Jagtial,50
18.93354,79.3951,2023-02-12,839,A,MODIS,2023,2,6,Hajipur,Mancherial,55
18.93404,79.39999,2023-02-12,707,1,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.93426,79.39826,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.9348,78.90688,2023-02-12,800,N,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.9348,79.40195,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.9351,79.40481,2023-02-12,707,1,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.93997,79.39069,2023-02-12,849,1,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.94247,79.3934,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,100
18.94526,79.38917,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.9458,79.39285,2023-02-12,800,N,VIIRS,2023,2,6,Hajipur,Mancherial,50
18.97584,78.98302,2023-02-12,707,1,VIIRS,2023,2,6,Sarangapur,Jagtial,100
18.97938,79.46329,2023-02-12,707,1,VIIRS,2023,2,6,Mandamarri,Mancherial,50
18.97946,78.97796,2023-02-12,800,N,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.98001,78.98161,2023-02-12,800,N,VIIRS,2023,2,6,Sarangapur,Jagtial,50
18.98055,79.46,2023-02-12,707,1,VIIRS,2023,2,6,Mandamarri,Mancherial,50
18.98071,78.9801,2023-02-12,707,1,VIIRS,2023,2,6,Sarangapur,Jagtial,100
18.98278,78.97742,2023-02-12,800,N,VIIRS,2023,2,6,Beerpur,Jagtial,50
18.99688,78.89258,2023-02-12,800,N,VIIRS,2023,2,6,Raikal,Jagtial,50
19.02608,79.51459,2023-02-11,728,1,VIIRS,2023,2,6,Bellampalle,Mancherial,50
19.09291,78.65588,2023-02-12,800,N,VIIRS,2023,2,6,Khanapur,Nirmal,50
19.11708,78.83853,2023-02-12,800,N,VIIRS,2023,2,6,Dasturabad,Nirmal,50
19.14874,78.13701,2023-02-11,820,N,VIIRS,2023,2,6,Narsapur_G,Nirmal,50
19.15058,78.13964,2023-02-11,820,N,VIIRS,2023,2,6,Kuntala,Nirmal,50
19.15119,79.2038,2023-02-12,800,N,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.15274,79.20479,2023-02-12,707,1,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.15452,79.20327,2023-02-12,800,N,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.15839,79.20641,2023-02-12,800,N,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.19382,79.55657,2023-02-11,728,1,VIIRS,2023,2,6,Bheemini,Mancherial,50
19.22266,79.17862,2023-02-12,849,1,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.22548,79.17657,2023-02-12,800,N,VIIRS,2023,2,6,Tiryani,Kumurambheem Asifabad,50
19.26142,78.82903,2023-02-12,800,N,VIIRS,2023,2,6,Utnur,Adilabad,50
19.28538,78.67484,2023-02-12,839,A,MODIS,2023,2,6,Pembi,Nirmal,69
19.28643,78.68359,2023-02-12,849,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.28731,78.69213,2023-02-12,839,A,MODIS,2023,2,6,Pembi,Nirmal,54
19.28996,78.68135,2023-02-12,839,A,MODIS,2023,2,6,Pembi,Nirmal,81
19.29123,78.68298,2023-02-12,707,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29239,78.68809,2023-02-12,707,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29294,78.68177,2023-02-12,800,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29349,78.68542,2023-02-12,800,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29352,78.50933,2023-02-11,1957,1,VIIRS,2023,2,6,Ichoda,Adilabad,50
19.29352,78.68916,2023-02-12,849,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29778,78.67509,2023-02-11,820,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.29856,78.68646,2023-02-12,707,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.30247,78.68008,2023-02-11,820,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.30416,78.67995,2023-02-11,728,1,VIIRS,2023,2,6,Pembi,Nirmal,50
19.3044,78.67909,2023-02-11,758,A,MODIS,2023,2,6,Pembi,Nirmal,58
19.30645,78.67959,2023-02-11,820,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.31044,78.67908,2023-02-11,820,N,VIIRS,2023,2,6,Pembi,Nirmal,50
19.32874,78.66679,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.32894,78.66542,2023-02-11,820,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33003,78.66552,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33228,78.66508,2023-02-11,2050,N,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33251,78.6718,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33303,78.6675,2023-02-11,1957,1,VIIRS,2023,2,6,Sirikonda,Adilabad,50
19.33541,78.6571,2023-02-11,758,A,MODIS,2023,2,6,Sirikonda,Adilabad,61
