latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,REGIONNAME,HRname,confidence
6.42787,35.8516,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.42841,35.8553,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.43091,35.96849,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.43273,35.15227,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,Gambela,Gambela,50
6.43273,35.15227,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,Gambela,Gambela,50
6.43273,35.15227,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,Gambela,Gambela,50
6.44044,35.93618,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,54
6.44462,35.96127,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,77
6.44483,35.93161,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,79
6.44709,35.9723,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.44926,35.95738,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,92
6.45002,36.0322,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45015,35.92466,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45043,36.03527,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45079,35.92862,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45085,35.9236,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45155,35.92866,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.45159,35.92746,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45262,35.97456,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45305,35.97771,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.45392,35.92382,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.454,35.97205,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45456,35.92778,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45458,35.97092,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45475,35.97665,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45516,36.03146,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45531,35.97553,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45558,36.03454,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,100
6.456,36.03762,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45671,35.93105,2023-03-24,10:38,A,MODIS,2023,3,12,7d,SNNPR,SNNPR,70
6.45772,35.97368,2023-03-26,11:32,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45781,35.9715,2023-03-26,10:41,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.45782,35.94714,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
